section,token,pos,count
body,Haye,NNP,1
body,He,PRP,131
body,Hear,VB,1
body,Heaven,NNP,8
body,Her,PRP$,47
body,Here,RB,3
body,Hertfordshire,NNP,18
body,Hill,NNP,7
body,His,PRP$,49
body,House,NNP,3
body,How,WRB,42
body,However,RB,3
body,Hownicely,RB,1
body,Howsoever,NNP,1
body,Human,JJ,1
body,Hunsford,JJ,1
body,Hunsford,NNP,6
body,Hurst,NNP,2
body,I,CD,1
body,I,PRP,1091
body,I.,NN,2
body,ICmffflHiwiMi,UNK,1
body,IF,UNK,1
body,II,CARD,1
body,II,CD,1
body,II,NNP,12
body,II,UNK,1
body,III,CD,1
body,IN,UNK,1
body,IS,UNK,1
body,IV,CD,1
body,IX,CD,1
body,If,IN,53
body,Imagine,VBP,1
body,Impossible,JJ,1
body,Imprudence,NN,1
body,Imprudent,JJ,1
body,In,IN,50
body,Indeed,RB,7
body,Instead,RB,2
body,Into,NNP,1
body,Is,VBZ,13
body,It,PRP,134
body,Its,PRP$,4
body,J,NN,1
body,J,UNK,2
body,J&11S,UNK,1
body,JANE,UNK,2
body,JUSTEN,UNK,1
body,James,NNP,1
body,Jane,NNP,145
body,John,NNP,3
body,July,NNP,1
body,June,NNP,3
body,Just,RB,1
body,Kenilworth,NNP,1
body,Kent,NNP,7
body,King,NNP,3
body,Kitty,NN,12
body,Kitty,NNP,45
body,Kympton,NNP,1
body,LAST,UNK,1
body,LIBRARY,UNK,3
body,LITTLE,UNK,1
body,La,NNP,2
body,Lady,NN,14
body,Lady,NNP,32
body,Ladyship,NN,3
body,Lakes,NNS,4
body,Lambton,NNP,10
body,Lately,RB,1
body,Let,VB,13
body,Letters,NNS,1
body,Library,UNK,1
body,Little,JJ,1
body,Liverpool,NNP,1
body,Lizzy,NN,1
body,Lizzy,NNP,57
body,Lk,NN,1
body,Lodge,NNP,3
body,London,NNP,31
body,Long,JJ,1
body,Long,NNP,5
body,Longbourn,NNP,44
body,Look,VB,1
body,Lord,NNP,7
body,Louisa,NNP,1
body,Lucas,NNP,10
